Client,Project,Registered time,Billable time,Amount ()
,0.0 Sprint Reminders (Reflection & feedback)   #2225,04:50:05,,
,0.0 Sprint Reminders (Sprint Start & During Week)   #2225,17:14:51,,
,1.1 Track time  (Toggl Organisation)   #2223,00:39:00,,
,1.2 Command Line and Github (Part 0)   #2222,22:48:00,,
,1.2 Command Line and Github (Part 1)   #2222,08:06:04,,
,1.2 Command Line and Github (Part 2)   #2222,18:49:35,,
,1.2 Command Line and Github (Part 3)   #2222  ,02:33:00,,
,1.3 Create your Website (CSS Fun)   #2221,08:16:57,,
,1.3 Create your Website (Home Page & Blogs)   #2221,23:22:32,,
,1.4 Meet your fellow Students   #2220,00:44:30,,
